LEVEL,,,,,,,,
Corrie's Level,,,,,,,,
4,,,,,,,,
4,,,,,,,,
1,1,*8,1,,,,,
1,1,1,1,,,,,
1,r6,1,g6,,,,,
b10,1,1,1,,,,,
,,,,,,,,
,,,,,,,,
LEVEL,,,,,,,,
Corrie's Level 2,,,,,,,,
4,,,,,,,,
4,,,,,,,,
1,1,1,1,,,,,
*4,1,1,1,,,,,
1,1,1,b5,,,,,
g5,1,1,1,,,,,
,,,,,,,,
,,,,,,,,
LEVEL,,,,,,,,
Blah blah,,,,,,,,
8,,,,,,,,
3,,,,,,,,
1,1,1,y3,0,1,1,1,
1,1,1,1,0,1,1,1,
1,1,1,1,0,o8,1,1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LEVEL,,,,,,,,
Corrie's Level,,,,,,,,
4,,,,,,,,
4,,,,,,,,
1,1,*8,1,,,,,
1,1,1,1,,,,,
1,b6,1,g6,,,,,
r10,1,1,1,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LEVEL,,,,,,,,
Diode testing,,,,,,,,
4,,,,,,,,
4,,,,,,,,
1,1,1,1,,,,,
%dS,%dN,1,b10,,,,,
1,1,%dW,1,,,,,
r10,1,%dE,1,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LEVEL,,,,,,,,
Time Splitter Testing,,,,,,,,
9,,,,,,,,
4,,,,,,,,
1,1,1,1,0,1,1,1,1
1,1,%sA,1,0,1,1,%sA,b10
1,1,1,1,0,1,1,1,1
r10,1,1,1,0,1,1,1,1